id,news,trigger,object,subject,time,location
1,收到求助短信，打电话过去已经关机，真的无法求证真实情况，请在附近区域的帮帮忙@新乡消防@河南消防她的联系方式：15239592993,收到,,求助短信,,
2,信阳浉河区的雨小一点了…别的地方加油吧未来3个小时以内估计持续降雨…信阳吖吖明明啊的微博视频,,,,,信阳浉河区
3, 求扩散 八辆大卡车的石头还有车下去也没堵住彭村的口子，侯村，寺南已沦陷现在紧急需要征集钢筋，焊成钢筋铁龙，用于堵决口，有会的，或者有钢筋的，及时联系18839281656,需要,,钢筋,,彭村侯村，寺南
4,求助寻人各位朋友下午好，视频里小女孩是好友堂哥家孩子，于上月20号和妈妈连车一起被洪水冲走妈妈已找到，但孩子至今仍下落不明望看到此贴的各位朋友帮忙扩散一下吧特别是河南省，巩义市站街镇朋友们如果有抖的可以帮忙转载一下吗李先生1573883366813253373555谢谢非常感谢禹州市滢平铭杰的微博视频,被洪水,视频里小女孩,冲走,20号,河南省，巩义市站街镇
5,求大家帮忙求扩散sos 呼吁国家级救援，一次又一次的泄洪使得往昔的浚县古城已满目疮痍，基本沦陷，一个小县城承担5个泄洪区可以想象后果多么惨烈，一开始我以为把我们浚县新镇泄洪完了以后就可以保县城，现在远远不是，保大家失小家，中国人自古都知道的道理，可是总要有措施或者办法吧，并非一味的转移，那些百姓都没有家了啊，位于河南省鹤壁市北方的一个小县城浚县，及浚县各个乡镇都被淹  希望有所为想办法，不是可着一个县城去整，别让千万百姓寒心啊，呼吁国家级救援，县城有部队救援，也有物资投放，但是还是希望想办法，采取有效措施，不然这个小县城也会像卫辉那么严重，所以恳求各媒体官微帮助一下我的家乡  作为一名年轻党员，我很希望能为我的家乡奉献我的微博之力，上周男朋友带我回去送了点物资，但我深知，最重要的还是我们的家  希望大家帮助我的家乡浚县及各乡镇，相信我的国家，待来年正月，欢迎大家来我们浚县古城赶庙会@人民日报@人民网@河南日报@新华网@鹤壁日报@CCTV焦点访谈@闪光少女斯斯@微博搞笑排行榜@桃知了@Hey-look-here,承担,浚县古城,5个泄洪区,,浚县古城
6, 有没有人知道荥阳市高山镇吴沟村的情况，家有老人在那里，电话打不通了，拜托大家,知道,有没有人,荥阳市高山镇吴沟村的情况,,荥阳市高山镇吴沟村
7,鹤壁淇县桃园路，玖洲市场京东仓库被困150人，水深2米，出不来了。朋友圈求救。求,被困,鹤壁淇县桃园路，玖洲市场京东仓库,150人，水深2米，出不来了,,鹤壁淇县桃园路，玖洲市场京东仓库
8,郑州今天什么情况呢？有通水通电吗？我的姐姐姐夫弟弟昨晚打工的铺子、住处已被淹。今天一天联系不到，三个电话四个号码，均不通。希望能有管城回族区圃田乡河沟王安置区情况的消息。 昨晚他们是仓促离开水淹地的,被淹,打工的铺子、住处,,,管城回族区圃田乡河沟王安置区
9,河南·卫辉?全城水深达到2米以上，全部被淹，近几十万人受灾。急需游艇，大型抽水设备排涝，肯请有能力的单位组织和个人来帮助救灾吃的喝的已够，急需排涝设备救援设备卫辉市区水位一直在涨，暴雨暂停，也有抽水，但内涝十分严重，小城岌岌可危求扩散如果有好转会及时更新。卫辉市OneMississippi_的微博视频,急需,全城水深达到2米以上,游艇，大型抽水设备排涝,,河南·卫辉
9,河南·卫辉全城水深达到2米以上，全部被淹，近几十万人受灾。急需游艇，大型抽水设备排涝，肯请有能力的单位组织和个人来帮助救灾吃的喝的已够，急需排涝设备救援设备卫辉市区水位一直在涨，暴雨暂停，也有抽水，但内涝十分严重，小城岌岌可危求扩散如果有好转会及时更新。卫辉市OneMississippi_的微博视频,帮助,有能力的单位组织和个人,卫辉,,河南·卫辉
